[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
5.83645403e-02, -2.98006775e+02
5.96437752e-02, -2.91241577e+02
6.10496998e-02, -2.83851868e+02
6.46287799e-02, -2.66059967e+02
6.86836839e-02, -2.46573059e+02
7.25966692e-02, -2.28109650e+02
7.67034739e-02, -2.11029892e+02
8.08660239e-02, -1.92760986e+02
8.36378038e-02, -1.83220947e+02
8.72901827e-02, -1.69693619e+02
9.13008079e-02, -1.57389542e+02
9.39004347e-02, -1.49516251e+02
9.76447463e-02, -1.39244522e+02
1.01292625e-01, -1.30650925e+02
1.04283586e-01, -1.24088959e+02
1.08385690e-01, -1.16049667e+02
1.11113131e-01, -1.11084305e+02
1.15517840e-01, -1.02938477e+02
1.16958074e-01, -1.00913773e+02
1.18109725e-01, -9.93159561e+01
1.22636773e-01, -9.23454742e+01
1.25256106e-01, -8.83029404e+01
1.29695088e-01, -8.20202179e+01
1.32529020e-01, -7.82978668e+01
1.36632502e-01, -7.28021393e+01
1.39883310e-01, -6.86615524e+01
1.43413186e-01, -6.41868668e+01
1.47132456e-01, -5.92401962e+01
1.50367245e-01, -5.52392616e+01
1.54627427e-01, -4.97470703e+01
1.55830503e-01, -4.82195663e+01
1.57169104e-01, -4.65123177e+01
1.61256760e-01, -4.08396759e+01
1.64554477e-01, -3.62135010e+01
1.67706504e-01, -3.19629745e+01
1.71953201e-01, -2.55130310e+01
1.72955796e-01, -2.42801876e+01
1.75166786e-01, -2.14186020e+01
1.78100348e-01, -1.72119255e+01
1.78110659e-01, -1.71975727e+01
1.82078645e-01, -1.15817537e+01
1.86136335e-01, -5.79972601e+00
1.89924166e-01, -2.82143056e-01
1.90984547e-01, 1.58701909e+00
1.92034245e-01, 3.37457538e+00
1.95612833e-01, 7.92938614e+00
1.98644996e-01, 1.23602867e+01
1.99786276e-01, 1.38646021e+01
2.02129155e-01, 1.68447418e+01
2.04485342e-01, 1.97645168e+01
2.05608130e-01, 2.11248188e+01
2.09132999e-01, 2.55010109e+01
2.13219881e-01, 3.06510162e+01
2.17372760e-01, 3.53164673e+01
2.21551925e-01, 3.94507523e+01
2.21789181e-01, 3.97059669e+01
2.24288508e-01, 4.24320526e+01
2.27850825e-01, 4.60310555e+01
2.32129335e-01, 5.01108246e+01
2.34738216e-01, 5.28437119e+01
2.38490731e-01, 5.64205284e+01
2.42043644e-01, 5.95408020e+01
2.44960904e-01, 6.22903519e+01
2.49006450e-01, 6.63544693e+01
2.51501471e-01, 6.90764847e+01
2.55714208e-01, 7.35418701e+01
2.59185821e-01, 7.76141891e+01
2.59309232e-01, 7.77588425e+01
2.63343811e-01, 8.17392349e+01
2.67352223e-01, 8.59715042e+01
2.71327734e-01, 9.03030853e+01
2.75115728e-01, 9.41099625e+01
2.78578967e-01, 9.78890610e+01
2.81771421e-01, 1.00875031e+02
2.84127146e-01, 1.04626846e+02
2.84802377e-01, 1.05480484e+02


