[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure [ Pa ]
2.85979986e-01, 7.53835297e+01
2.88325369e-01, 8.34640656e+01
2.90185809e-01, 8.92772980e+01
2.91683078e-01, 9.95952911e+01
2.92667925e-01, 1.09369766e+02
2.93543875e-01, 1.18150063e+02
2.94176280e-01, 1.22863609e+02
2.94831157e-01, 1.27383255e+02
2.95354158e-01, 1.29513519e+02
2.95477122e-01, 1.30348129e+02
2.95477122e-01, 1.30797150e+02
2.95477122e-01, 1.31809875e+02
2.95477122e-01, 1.32198059e+02
2.95477122e-01, 1.31617569e+02
2.95477122e-01, 1.26956696e+02
2.95477122e-01, 1.23781128e+02
2.95225143e-01, 1.26868454e+02
2.94828057e-01, 1.28102982e+02
2.94284225e-01, 1.27978577e+02
2.93620288e-01, 1.25392586e+02
2.92930841e-01, 1.23012085e+02
2.92161524e-01, 1.20310318e+02
2.91034073e-01, 1.16400795e+02
2.89740026e-01, 1.12443771e+02
2.89493173e-01, 1.11859627e+02
2.87965149e-01, 1.08009613e+02
2.85889775e-01, 1.04582047e+02
2.84293145e-01, 1.02442368e+02
2.81422526e-01, 9.86810684e+01
2.77741015e-01, 9.49412537e+01
2.73646474e-01, 9.11047516e+01
2.69886255e-01, 8.70001831e+01
2.68964678e-01, 8.59908981e+01
2.66027093e-01, 8.28369064e+01
2.64298230e-01, 8.11050110e+01
2.61974365e-01, 7.86361542e+01
2.59567797e-01, 7.61550598e+01
2.58478999e-01, 7.51013718e+01
2.53709018e-01, 6.98598633e+01
2.50160754e-01, 6.65531158e+01
2.45541826e-01, 6.16440430e+01
2.41056129e-01, 5.73148651e+01
2.36836568e-01, 5.32510757e+01
2.33257234e-01, 4.99634590e+01
2.30746001e-01, 4.77152023e+01
2.29932472e-01, 4.69794807e+01
2.25526065e-01, 4.23373413e+01
2.24996686e-01, 4.19034386e+01
2.21091226e-01, 3.84088593e+01
2.18292832e-01, 3.55422745e+01
2.14931354e-01, 3.16483250e+01
2.10943520e-01, 2.65080490e+01
2.07219273e-01, 2.19998741e+01
2.03859091e-01, 1.75384789e+01
2.03546196e-01, 1.71634235e+01
1.99926972e-01, 1.26572580e+01


